Ticker,ActualClose,MeanPred,MeanErrorPct
BMY,55.790000915527344,56.47600033569336,1.2296099819118074
BR,236.3000030517578,237.25000012207028,0.40203007111446426
BRO,111.6500015258789,107.06600067138672,-4.105688125252449
BWA,30.25,30.923999816894536,2.2280985682464007
BX,163.89999389648438,170.4319989013672,3.985360126985905
BXP,69.56999969482422,71.61000036621094,2.9322993823995813
C,81.33999633789062,78.18800018310546,-3.8750876526863967
CAG,24.84000015258789,25.495999816894532,2.640900403691413
CARR,67.11000061035156,66.88600073242188,-0.33378017567047075
CAT,349.1499938964844,359.37,2.9271104918150583
CB,267.489990234375,270.0519978027344,0.957795679051221
CBOE,208.91000366210932,203.18200073242187,-2.7418519119610525
CBRE,141.6699981689453,140.83000024414065,-0.5929257680958979
CCI,91.2300033569336,92.07399987792968,0.9251304285213985
